"cell_id","group"
"aabmbfpm-1","PTS2"
"aabmhbbi-1","PTS2"
"aabnajno-1","PTS2"
"aabnpkmj-1","PTS2"
"aabojgif-1","PTS2"
"aaboogij-1","PTS2"
"aabpdmlp-1","PTS2"
"aabphhpc-1","PTS2"
"aabplagi-1","PTS2"
"aacahmlb-1","PTS2"
"aacaiijf-1","PTS2"
"aacajhoe-1","PTS2"
"aacbgbmb-1","PTS2"
"aaccgmcb-1","PTS2"
"aaccgopf-1","PTS2"
"aacchoaa-1","PTS2"
"aacdggno-1","PTS2"
"aacdnell-1","PTS2"
"aacecegi-1","CNT"
"aacfakoo-1","PTS2"
"aacffkll-1","CNT"
"aacflhmb-1","CNT"
"aacfpdgp-1","PTS2"
"aacfpoal-1","PTS2"
"aacgchnm-1","PTS2"
"aacgcmfd-1","PTS2"
"aacgihhj-1","TALB"
"aacgijgh-1","PTS1"
"aacicgaf-1","MD"
"aacjckoo-1","MD"
"aacjdooo-1","CNT"
"aacjlapb-1","TALB"
"aackggci-1","PTS2"
"aaclldeh-1","PTS2"
"aacnjifn-1","PTS2"
"aacplhbj-1","PTS2"
"aacpmimb-1","PTS1"
"aacpnmha-1","PTS2"
"aacppokd-1","PTS2"
"aadahoki-1","PTS2"
"aadalcko-1","PTS2"
"aadbjjmk-1","PTS2"
"aadcahca-1","PTS2"
"aadcihhm-1","CNT"
"aadcneei-1","CNT"
"aaddpmfi-1","PTS2"
"aadeabea-1","PTS2"
"aadebhea-1","PTS2"
"aadebkji-1","ICA"
"aadefghp-1","PTS1"
"aadefkeo-1","PTS2"
"aadeialb-1","PTS1"
"aadeloff-1","DCT2"
"aadepdcp-1","PTS2"
"aadepdnk-1","PTS2"
"aadfgcme-1","PTS2"
"aadgahag-1","PTS2"
"aadgbcgf-1","PTS2"
"aadgjgpa-1","CNT"
"aadgoidn-1","PTS1"
"aadhdbfk-1","PTS1"
"aadheldc-1","PTS2"
"aadhhhpi-1","PTS1"
"aadhjnlg-1","PTS2"
"aadhkbem-1","PTS2"
"aadhoggf-1","PTS2"
"aadieipc-1","PTS2"
"aadifafj-1","PTS2"
"aadigenp-1","PTS2"
"aadipbnh-1","PTS2"
"aadjakmm-1","PTS2"
"aadjpeko-1","PTS2"
"aadkcbcc-1","PTS2"
"aadlbljk-1","PTS2"
"aadlbmip-1","PTS2"
"aadldklk-1","PTS2"
"aadldmdi-1","PTS2"
"aadleccf-1","PTS2"
"aadmbljo-1","PTS1"
"aadnffeg-1","PTS1"
"aadodnal-1","PTS1"
"aaeakien-1","PTS2"
"aaealpnb-1","PTS2"
"aaeapjmo-1","PTS2"
"aaebcimd-1","PTS2"
"aaeblcio-1","PTS2"
"aaecimnl-1","PTS2"
"aaedamga-1","PTS2"
"aaedgelh-1","PTS2"
"aaedihhc-1","PTS2"
"aaedlnjb-1","PTS2"
"aaeecfod-1","PTS2"
"aaeemlfd-1","PTS2"
"aaefhpfc-1","PTS2"
"aaeficla-1","CNT"
"aaefliao-1","PTS2"
"aaegabed-1","PTS1"
"aaegcmmc-1","CNT"
"aaegeajo-1","PTS2"
"aaehaejo-1","PTS2"
"aaehdapj-1","PTS2"
"aaehonbi-1","PTS1"
"aaeigloj-1","PTS2"
"aaeiomkn-1","PTS2"
"aaeipjge-1","PTS2"
"aaejciof-1","PTS2"
"aaekjnbb-1","PTS2"
"aaekoihl-1","PTS2"
"aaelpidd-1","PTS2"
"aaemipja-1","PTS2"
"aaemljim-1","PTS2"
"aaemmpnh-1","CNT"
"aaenbgme-1","CNT"
"aaenebmj-1","CNT"
"aaenfkbn-1","PTS2"
"aaeniahd-1","ICA"
"aaenlapl-1","CNT"
"aaeobpcd-1","PTS2"
"aaeomkda-1","PTS1"
"aaepckia-1","PTS2"
"aaepljgp-1","PTS1"
"aafaehio-1","CNT"
"aafafmio-1","PTS1"
"aafagkin-1","CNT"
"aafaiedg-1","PTS2"
"aafajeee-1","PTS2"
"aafakddi-1","PTS2"
"aafapepo-1","PTS2"
"aafbfamo-1","PTS2"
"aafbglan-1","PTS3"
"aafcacjp-1","PTS3"
"aafccghh-1","PTS2"
"aafceljd-1","PTS2"
"aafckdff-1","PTS2"
"aafdadpf-1","PTS2"
"aafdenpf-1","PTS2"
"aafefodh-1","PTS2"
"aafekmch-1","PTS1"
"aaffafnh-1","PTS2"
"aaffiakh-1","PTS2"
"aafgblba-1","PTS2"
"aafgcilc-1","PTS2"
"aafgdeam-1","PTS2"
"aafgflbf-1","PTS2"
"aafhamhl-1","CNT"
"aafhfppg-1","DCT2"
"aafhgffn-1","PTS2"
"aafhiabn-1","PTS2"
"aafhndno-1","PTS2"
"aafieedb-1","PTS2"
"aafihiae-1","PTS2"
"aafilajp-1","PTS2"
"aafinelk-1","PTS2"
"aafjclhe-1","PTS2"
"aafjjapn-1","PTS2"
"aafjpnip-1","PTS2"
"aafkbbkd-1","PTS2"
"aafkpklg-1","PTS2"
"aafldjnp-1","PTS2"
"aaflegng-1","PTS2"
"aaflibdf-1","PTS2"
"aafljlac-1","PTS2"
"aafmhkkg-1","PTS2"
"aafmmaao-1","PTS2"
"aafmoadi-1","PTS2"
"aafnckik-1","PTS1"
"aafnjihn-1","PTS2"
"aafnmcbm-1","PTS2"
"aafnnpof-1","PTS2"
"aafocbak-1","PTS2"
"aafoddjo-1","PTS2"
"aafohacc-1","PTS2"
"aafojfom-1","PTS2"
"aafpnnkn-1","PTS2"
"aagaecce-1","PTS2"
"aagakpea-1","PTS2"
"aagbammc-1","EC1"
"aagbclpm-1","EC1"
"aagbehkp-1","PTS2"
"aagbfejf-1","PTS2"
"aagbpjof-1","PTS2"
"aagcbdje-1","PTS2"
"aagciabl-1","PTS2"
"aagcmdng-1","PTS2"
"aagcppbl-1","PTS2"
"aagdjhao-1","PTS2"
"aagdjnfb-1","PTS2"
"aagdnlgi-1","PTS2"
"aagejcff-1","PTS2"
"aagejoah-1","PTS2"
"aagennml-1","PTS1"
"aagfhljd-1","PTS2"
"aagfjgip-1","PTS2"
"aagfpijb-1","PTS2"
"aaghbefa-1","PTS1"
"aaghbgef-1","PTS2"
"aaghdhao-1","PTS2"
"aagijigg-1","PTS2"
"aagilndk-1","PTS2"
"aagjglll-1","TALB"
"aagkflbf-1","TALB"
"aagkgkmg-1","TALB"
"aagkngmk-1","cPC"
"aaglaegl-1","PTS2"
"aaglbgpc-1","PTS2"
"aaglgafo-1","PTS1"
"aaglgdld-1","ICA"
"aaglgjbd-1","cPC"
"aagliccj-1","PTS1"
"aagmaljk-1","PTS2"
"aagmochh-1","PTS2"
"aagnigij-1","PTS2"
"aagnpjmi-1","PTS2"
"aagoamhi-1","PTS2"
"aagocidi-1","PTS2"
"aagodhkm-1","PTS2"
"aagoefed-1","PTS2"
"aagogkkj-1","PTS2"
"aagokomp-1","PTS2"
"aagoldad-1","PTS2"
"aagookfo-1","PTS2"
"aagppegn-1","PTS2"
"aahafmng-1","PTS2"
"aahcbpmd-1","PTS2"
"aahcojfh-1","PTS2"
"aahdbohn-1","PTS2"
"aahdppnh-1","PTS2"
"aahegldi-1","PTS2"
"aahekgle-1","PTS2"
"aahelccg-1","PTS2"
"aahemdej-1","PTS2"
"aaheomfl-1","PTS2"
"aahfbnoo-1","ICA"
"aahfdpbg-1","CNT"
"aahffacg-1","PTS2"
"aahfnbhg-1","CNT"
"aahggccn-1","CNT"
"aahhhnoe-1","ICA"
"aahhlaaa-1","PTS2"
