"cell_id","group"
"aaaabpmi-1","7"
"aaaafgfh-1","6"
"aaabplpa-1","3"
"aaacfgfg-1","7"
"aaacfobd-1","7"
"aaacoigo-1","3"
"aaaddgmd-1","3"
"aaadgnle-1","6"
"aaadilmp-1","6"
"aaadnhgm-1","3"
"aaadpedg-1","6"
"aaaeaajo-1","5"
"aaaeapdg-1","3"
"aaaedncf-1","13"
"aaaegbdm-1","3"
"aaaehbhk-1","3"
"aaaepnmg-1","3"
"aaafakmd-1","6"
"aaafgdah-1","6"
"aaafiiji-1","0"
"aaafmabj-1","3"
"aaagbdfl-1","3"
"aaahddhh-1","3"
"aaaheikh-1","3"
"aaahgccl-1","0"
"aaahlnno-1","0"
"aaahmkho-1","0"
"aaahngfc-1","7"
"aaaiegpn-1","3"
"aaaijfmg-1","6"
"aaaimggb-1","5"
"aaajhcem-1","21"
"aaajneeb-1","3"
"aaakacej-1","3"
"aaakmkfa-1","3"
"aaalcbgl-1","0"
"aaalcgaf-1","3"
"aaalckpe-1","5"
"aaaloacl-1","5"
"aaamglai-1","5"
"aaamjabo-1","6"
"aaamklac-1","5"
"aaammigb-1","5"
"aaamnhjm-1","5"
"aaankgdn-1","5"
"aaanmhcn-1","5"
"aaanobho-1","6"
"aaaohgbc-1","6"
"aaaokpnb-1","20"
"aaaoooci-1","13"
"aaaoplig-1","13"
"aaapmkol-1","20"
"aabaaipl-1","13"
"aabaapba-1","13"
"aabanbll-1","21"
"aabbbimk-1","13"
"aabbhedh-1","21"
"aabcjbkp-1","13"
"aabdbake-1","13"
"aabdfigo-1","20"
"aabdikob-1","8"
"aabdnnlh-1","13"
"aabeappk-1","8"
"aabebagf-1","8"
"aabeecia-1","8"
"aabfapdd-1","0"
"aabfddfl-1","7"
"aabfebbe-1","2"
"aabgbcii-1","3"
"aabgjlga-1","0"
"aabglaek-1","7"
"aabglcfc-1","7"
"aabgmnec-1","0"
"aabhmocb-1","7"
"aabiadhd-1","0"
"aabiamef-1","0"
"aabigjib-1","0"
"aabihnja-1","0"
"aabiknpn-1","7"
"aabinjid-1","0"
"aabjpnpi-1","7"
"aabkfchi-1","0"
"aabkipmn-1","0"
"aablfdlk-1","6"
"aabmbfpm-1","0"
"aabmhbbi-1","0"
"aabnajno-1","0"
"aabnpkmj-1","0"
"aabojgif-1","7"
"aaboogij-1","3"
"aabpdmlp-1","7"
"aabphhpc-1","0"
"aabplagi-1","0"
"aacahmlb-1","6"
"aacaiijf-1","3"
"aacajhoe-1","6"
"aacbgbmb-1","0"
"aaccgmcb-1","3"
"aaccgopf-1","3"
"aacchoaa-1","3"
"aacdggno-1","0"
"aacdnell-1","3"
"aacecegi-1","13"
"aacfakoo-1","6"
"aacffkll-1","13"
"aacflhmb-1","13"
"aacfpdgp-1","3"
"aacfpoal-1","0"
"aacgchnm-1","0"
"aacgcmfd-1","3"
"aacgihhj-1","9"
"aacgijgh-1","21"
"aacicgaf-1","33"
"aacjckoo-1","33"
