"cell_id","group"
"aafmmaao-1","3"
"aafmoadi-1","6"
"aafnckik-1","30"
"aafnjihn-1","6"
"aafnmcbm-1","16"
"aafnnpof-1","8"
"aafocbak-1","6"
"aafoddjo-1","6"
"aafohacc-1","7"
"aafojfom-1","1"
"aafpnnkn-1","8"
"aagaecce-1","6"
"aagakpea-1","8"
"aagbammc-1","34"
"aagbclpm-1","0"
"aagbehkp-1","3"
"aagbfejf-1","1"
"aagbpjof-1","1"
"aagcbdje-1","8"
"aagciabl-1","1"
"aagcmdng-1","1"
"aagcppbl-1","6"
"aagdjhao-1","6"
"aagdjnfb-1","6"
"aagdnlgi-1","16"
"aagejcff-1","5"
"aagejoah-1","1"
"aagennml-1","11"
"aagfhljd-1","1"
"aagfjgip-1","6"
"aagfpijb-1","1"
"aaghbefa-1","11"
"aaghbgef-1","1"
"aaghdhao-1","1"
"aagijigg-1","1"
"aagilndk-1","1"
"aagjglll-1","9"
"aagkflbf-1","9"
"aagkgkmg-1","4"
"aagkngmk-1","20"
"aaglaegl-1","6"
"aaglbgpc-1","1"
"aaglgafo-1","24"
"aaglgdld-1","22"
"aaglgjbd-1","20"
"aagliccj-1","11"
"aagmaljk-1","6"
"aagmochh-1","8"
"aagnigij-1","16"
"aagnpjmi-1","3"
"aagoamhi-1","16"
"aagocidi-1","1"
"aagodhkm-1","6"
"aagoefed-1","16"
"aagogkkj-1","7"
"aagokomp-1","5"
"aagoldad-1","1"
"aagookfo-1","1"
"aagppegn-1","6"
"aahafmng-1","6"
"aahcbpmd-1","6"
"aahcojfh-1","1"
"aahdbohn-1","1"
"aahdppnh-1","1"
"aahegldi-1","16"
"aahekgle-1","1"
"aahelccg-1","1"
"aahemdej-1","7"
"aaheomfl-1","1"
"aahfbnoo-1","22"
"aahfdpbg-1","36"
"aahffacg-1","8"
"aahfnbhg-1","23"
"aahggccn-1","23"
"aahhhnoe-1","22"
"aahhlaaa-1","7"
"aahijogd-1","8"
"aahjkicg-1","7"
"aahkcadc-1","7"
"aahkfffc-1","1"
"aahkfjpm-1","5"
"aahkgdgf-1","24"
"aahkiecp-1","7"
"aahkihgk-1","24"
"aahlcndf-1","24"
"aahmhgfo-1","24"
"aahmkdkm-1","24"
"aahmpbia-1","22"
"aahnhike-1","7"
"aahocfak-1","1"
"aahojeig-1","1"
"aahoknoe-1","22"
"aahpedfd-1","22"
"aahpodgo-1","22"
"aahpohha-1","22"
"aahppnjc-1","24"
"aaiabpii-1","22"
"aaiadeki-1","6"
"aaiafjan-1","23"
"aaialcfb-1","36"
"aaibpjmj-1","1"
"aaicioim-1","20"
"aaicmhnn-1","6"
"aaidffpp-1","36"
"aaidfkmp-1","1"
"aaidkndc-1","8"
"aaidokii-1","8"
"aaidplhk-1","1"
"aaifdlag-1","1"
"aaiffffm-1","1"
"aaiffioe-1","1"
"aaiffnna-1","1"
"aaifkkpe-1","7"
"aaifnggd-1","6"
"aaigdbog-1","1"
"aaigkdei-1","1"
"aaigmipe-1","23"
"aaihcoeo-1","8"
"aaihcpec-1","36"
"aaihgmia-1","3"
"aaihicgd-1","23"
"aaihnpbn-1","23"
"aaiidoho-1","23"
"aaiifncn-1","22"
"aaiihood-1","36"
"aaiikeoc-1","8"
"aaiikgel-1","23"
"aaijdnoc-1","8"
"aaijjbba-1","3"
"aaijmogo-1","29"
"aaijonfl-1","3"
"aaikcnkp-1","1"
"aaikneck-1","1"
"aaikpnnm-1","36"
"aailloda-1","23"
"aailojei-1","23"
"aailolal-1","36"
"aaimipph-1","5"
"aaimlklj-1","7"
"aaimmiki-1","5"
"aaincimi-1","5"
"aaiodcbl-1","7"
"aaipdffk-1","3"
"aaipdpfa-1","1"
"aaipfpfo-1","1"
"aaipoihg-1","1"
"aajalgfp-1","5"
"aajbnjcl-1","1"
"aajdioff-1","34"
"aajdjpcd-1","7"
"aajeiaac-1","6"
"aajeidbg-1","6"
"aajeijgk-1","1"
"aajfenkf-1","19"
"aajflodd-1","19"
"aajfmkca-1","29"
"aajfoepf-1","16"
"aajgnnkc-1","8"
"aajhapal-1","1"
"aajhcjkb-1","8"
"aajhiial-1","1"
"aajhmdek-1","10"
"aajibjoe-1","36"
"aajieehb-1","23"
"aajjbnbb-1","7"
"aajkfdom-1","7"
"aajldjih-1","11"
"aajleblp-1","8"
"aajllhan-1","5"
"aajmifgn-1","24"
"aajneifj-1","2"
"aajofgbb-1","11"
"aajppfbh-1","16"
"aajppjio-1","2"
"aakbccib-1","2"
"aakbgldl-1","16"
"aakbhfbo-1","16"
"aakbhjio-1","11"
"aakbidol-1","11"
"aakbkhim-1","11"
"aakbobfo-1","16"
"aakcgikh-1","16"
"aakcnekp-1","2"
"aakdfdcc-1","7"
"aakdiaco-1","6"
"aakdmamm-1","8"
"aakdmobn-1","3"
"aakdonbk-1","3"
"aakdphfk-1","6"
"aakeadfn-1","6"
"aakefbnl-1","7"
"aakeidep-1","6"
"aakeiedl-1","7"
"aakeoehg-1","7"
"aakffkbd-1","7"
"aakfkhaj-1","16"
"aakfkmci-1","6"
"aakfkonk-1","16"
"aakgdgja-1","29"
"aakhkidh-1","2"
"aakijadm-1","2"
"aakinlch-1","16"
"aakjnond-1","16"
"aakkdpjk-1","18"
"aakkgkoa-1","1"
"aakkhieh-1","7"
"aaklcehd-1","18"
"aaklghlk-1","2"
"aakllhml-1","18"
"aakmeajg-1","2"
"aakmfoln-1","6"
"aakmncee-1","2"
"aakmpbjo-1","18"
"aakndfnj-1","16"
"aaknjcpc-1","16"
"aaknpacm-1","16"
"aakobkdn-1","16"
"aakolckl-1","2"
"aakpbpnc-1","2"
"aakpgicb-1","16"
"aalaejll-1","6"
"aalamgin-1","18"
"aalbmekj-1","6"
"aalciohh-1","16"
"aaldcabl-1","16"
"aaldgfaj-1","16"
"aaldmglh-1","2"
"aaleacji-1","2"
"aaleingi-1","16"
"aalemfoh-1","2"
"aalfghlj-1","16"
"aalfpapi-1","16"
"aalgnkmh-1","2"
"aalgoicl-1","1"
"aalhbeol-1","2"
"aalhbhlb-1","16"
"aalhknge-1","2"
"aalhnbbe-1","1"
"aalihdjj-1","23"
"aaljkkad-1","36"
"aaljpbgb-1","1"
"aalkcmpf-1","1"
"aalklloe-1","5"
"aalkmepf-1","1"
"aalknmob-1","1"
"aalknmpg-1","7"
"aallbhdm-1","23"
"aallmfkh-1","5"
"aallpmmj-1","34"
"aalmcajh-1","23"
"aalmlckg-1","1"
"aalmnkhm-1","5"
"aalngccf-1","1"
"aalnhiaa-1","1"
"aalnjmga-1","3"
"aalnnnag-1","7"
"aaloclmb-1","1"
"aalogblo-1","16"
"aalpbbkb-1","6"
"aalpfddd-1","51"
"aamadfbk-1","51"
"aamadpmd-1","51"
"aamagbho-1","51"
"aamaidah-1","51"
"aamaknpp-1","6"
"aamambnf-1","16"
"aamamipl-1","16"
"aambikpd-1","8"
"aamcagnn-1","19"
"aamcbhma-1","24"
"aamckhgj-1","19"
"aamckonj-1","1"
"aamcngom-1","10"
"aamcoogc-1","1"
"aamdpeel-1","16"
"aamechdd-1","3"
"aameeial-1","8"
"aamekhee-1","8"
"aamepenh-1","8"
"aamepfei-1","1"
"aamfdfdo-1","6"
"aamfldjj-1","24"
"aamfnhmg-1","5"
"aamglach-1","1"
"aamgoogh-1","23"
"aamhbggc-1","23"
"aamhjjhc-1","23"
"aamhoifp-1","16"
"aamibijh-1","5"
"aamifgcg-1","5"
"aamigemg-1","7"
"aamikimm-1","6"
"aamikkdl-1","6"
"aamimfml-1","16"
"aamjbhem-1","1"
"aamjcgif-1","16"
"aamkdnng-1","6"
"aamkhieo-1","6"
"aamkjmkg-1","23"
"aamlgpak-1","1"
"aamllhbf-1","36"
"aamlndio-1","1"
"aammadoa-1","36"
"aammfepl-1","13"
"aammlnna-1","3"
"aammnhpi-1","3"
"aamnenlb-1","3"
"aamojgjf-1","3"
"aampdapn-1","3"
"aampdipd-1","23"
"aampnedn-1","23"
"aampolno-1","23"
"aanaaboa-1","24"
"aanaffcb-1","24"
"aanahfll-1","11"
"aanakmdb-1","30"
"aanapeak-1","24"
"aanbbnpa-1","7"
"aanbdafj-1","0"
"aanblpei-1","5"
"aanccehm-1","1"
"aancnkoh-1","5"
"aandcjic-1","1"
"aandgdpj-1","1"
"aandilgk-1","5"
"aandpjpm-1","5"
"aanebhnd-1","1"
"aanfcego-1","1"
"aanffhbg-1","7"
"aangbche-1","7"
"aanhfeln-1","24"
"aanhhjbc-1","24"
"aanhhpal-1","24"
"aanhmgll-1","1"
"aanhopfp-1","6"
"aaniiejc-1","29"
"aanioegk-1","7"
"aaniokhe-1","1"
"aankjjda-1","1"
"aankpjcb-1","1"
"aanlahgi-1","24"
"aanlmbmo-1","24"
"aanmhgag-1","19"
"aannlaam-1","6"
"aannledl-1","5"
"aannoffb-1","19"
"aannokgm-1","7"
"aannpjlg-1","41"
"aanpaelm-1","5"
"aaoaamje-1","5"
"aaoacida-1","5"
"aaobfmin-1","5"
"aaobghcd-1","1"
"aaobhonn-1","7"
"aaobjgkl-1","1"
"aaobmclo-1","1"
"aaobpfmb-1","5"
"aaocifog-1","24"
"aaockgki-1","24"
"aaodboab-1","24"
"aaodnbhm-1","24"
"aaoemhbb-1","7"
"aaoengff-1","8"
"aaofbchk-1","5"
"aaoflpom-1","8"
"aaogaiod-1","3"
"aaogkfie-1","8"
"aaohgooa-1","8"
"aaohhdce-1","8"
"aaohlend-1","1"
"aaoiefdo-1","5"
"aaoijbkh-1","3"
"aaokohmg-1","1"
"aaolapgj-1","1"
"aaolfbpn-1","8"
"aaolnfbh-1","3"
"aaomabii-1","3"
"aaomlngf-1","5"
"aaomnalj-1","3"
"aaonbmpp-1","8"
"aaondbee-1","1"
"aaoneocd-1","7"
"aaongjnf-1","1"
"aaonjnpa-1","7"
"aaonlmml-1","19"
"aaonncfh-1","1"
"aaoodbkh-1","5"
"aaookdco-1","1"
"aaoomfjl-1","1"
"aaoopnnj-1","3"
"aaopbhck-1","1"
"aaopckih-1","1"
"aaopgjim-1","5"
"aaopjnah-1","1"
"aaopkmcc-1","36"
"aapaedol-1","3"
"aapafipi-1","3"
"aapajjob-1","5"
"aapakcpm-1","8"
"aapbogdd-1","8"
"aapcbfjl-1","36"
"aapcbimd-1","23"
"aapcljph-1","36"
"aapclmne-1","36"
"aapebllf-1","24"
"aapekiag-1","1"
"aapendjm-1","6"
"aapfdabc-1","7"
"aapfoani-1","7"
"aapfpdfm-1","1"
"aapghiaf-1","1"
"aapgnbcp-1","34"
"aaphcahd-1","16"
"aaphijbf-1","1"
"aapiahaf-1","16"
"aapijmpb-1","1"
"aapikiea-1","1"
"aapipank-1","5"
"aapjcoma-1","8"
"aapjgman-1","1"
"aapkhmco-1","16"
"aapljgbm-1","7"
"aaplonbb-1","1"
"aapmafbi-1","1"
"aapmbmmm-1","16"
"aapmiphm-1","1"
"aapmmijo-1","16"
"aapmoobp-1","6"
"aapmopfl-1","1"
"aapnofii-1","1"
"aapocnhp-1","1"
"aappcpfk-1","6"
"aappmjbb-1","6"
"aappncfk-1","1"
"aappnefm-1","6"
"abaaehdf-1","7"
"abaamfee-1","1"
"abaaoabe-1","1"
"abablmom-1","1"
"ababmcme-1","1"
"ababndej-1","1"
"abaccnfk-1","1"
"abaclimc-1","6"
"abacnapi-1","6"
"abadbace-1","1"
"abaddbmg-1","6"
"abaegphl-1","1"
"abaejhgn-1","6"
"abaelipg-1","6"
"abafonea-1","6"
"abafphcc-1","1"
"abageaca-1","6"
"abagpijk-1","6"
"abahlpad-1","24"
"abahnhep-1","6"
"abaiiknd-1","6"
"abainkpc-1","6"
"abajfkek-1","6"
"abajmcbp-1","6"
"abakanja-1","34"
"abakjnfc-1","7"
"abakkhef-1","1"
"abalcbjn-1","7"
"abaldlep-1","5"
"abalkkok-1","5"
"abamjdlj-1","7"
"abamnkcj-1","5"
"abamolcc-1","5"
"abanelnn-1","7"
"abanemlk-1","7"
"abangggd-1","1"
"abanmbeg-1","1"
"abanmepl-1","7"
"abaokpkb-1","1"
"abaomfhl-1","5"
"abaphgog-1","7"
"abapliad-1","30"
"abapngnf-1","24"
"abbachad-1","11"
"abbbgjlp-1","30"
"abbbhopf-1","11"
"abbbjfnf-1","3"
"abbcfnco-1","3"
"abbeecpo-1","24"
"abbefbmi-1","24"
"abbefpgf-1","24"
"abbejnjk-1","24"
"abbfnlob-1","24"
"abbfocog-1","24"
"abbicbll-1","24"
"abbimnmp-1","24"
"abbjfndo-1","24"
"abbjhpdb-1","24"
"abbjkndh-1","24"
"abbjlkcm-1","5"
"abbjmgll-1","23"
"abbkmgkf-1","5"
"abblekmh-1","7"
"abblnijk-1","5"
"abbloebj-1","7"
"abblphfl-1","5"
"abbmpkpn-1","3"
"abbneegb-1","5"
"abbniama-1","3"
"abbnjkdp-1","5"
"abboamko-1","1"
"abbpjdjf-1","1"
"abbpkinm-1","22"
"abbpokac-1","11"
"abcafkjo-1","23"
"abcahjgg-1","23"
"abcahpka-1","36"
"abcaoalm-1","36"
"abcbfikb-1","36"
"abcbkdoh-1","23"
"abcbkepb-1","16"
"abcbnlnp-1","7"
"abccbipg-1","5"
"abccmboi-1","6"
"abccmicj-1","6"
"abcdchmo-1","1"
"abcdgcoj-1","16"
"abcdhchi-1","6"
"abcegkdj-1","6"
"abcfebok-1","1"
"abcfpgfp-1","7"
"abcgbbbg-1","6"
"abcgibpf-1","1"
"abchfico-1","16"
"abchnccn-1","3"
"abcijekg-1","3"
"abcinpga-1","3"
"abciooaf-1","36"
"abckagdl-1","23"
"abckecgj-1","3"
"abckgcdc-1","11"
"abckgdoa-1","3"
"abckignf-1","36"
"abcknjfm-1","23"
"abclemhi-1","36"
"abclenio-1","36"
"abclgldf-1","1"
"abcmcgce-1","3"
"abcnbkkb-1","5"
"abcngfki-1","7"
"abcobdko-1","22"
"abcomhog-1","3"
"abconkco-1","23"
"abcpbbpf-1","3"
"abcpcadm-1","6"
"abcpgpei-1","3"
"abdbapkb-1","6"
"abdbepkk-1","6"
"abdbpcgc-1","6"
"abdchfdk-1","6"
"abdcknob-1","6"
"abdcnbbn-1","3"
"abddalld-1","3"
"abddedpf-1","7"
"abddfmeg-1","5"
"abddhobn-1","6"
"abddmhae-1","6"
"abddoaba-1","1"
"abddohhe-1","6"
"abdfihgo-1","1"
"abdggdpc-1","1"
"abdgoafj-1","6"
"abdhajin-1","6"
"abdhakgn-1","7"
"abdheipn-1","6"
"abdhjiik-1","29"
"abdhobbe-1","6"
"abdibeei-1","7"
"abdifmmc-1","1"
"abdigijo-1","1"
"abdjedki-1","7"
"abdjmimb-1","1"
"abdjooff-1","6"
"abdkjbmj-1","1"
"abdklclp-1","7"
"abdldpbj-1","1"
"abdllklc-1","16"
"abdloojk-1","7"
"abdlpcac-1","5"
"abdlpgdn-1","1"
"abdmkeoh-1","7"
"abdmlnah-1","6"
"abdmmjni-1","29"
"abdnfahn-1","1"
"abdnpgmi-1","1"
"abdochmp-1","6"
"abdonbcj-1","1"
"abdopeon-1","1"
"abdpccdm-1","1"
"abeaokgi-1","7"
"abeblpbo-1","19"
"abebndfj-1","6"
"abebpplp-1","29"
"abeccpge-1","7"
"abechflb-1","6"
"abecmfao-1","7"
"abecpdpp-1","6"
"abecphgf-1","16"
"abedfnfj-1","1"
"abeeagad-1","6"
"abeeelaj-1","16"
"abeeommk-1","1"
"abefajnc-1","1"
"abefbdpm-1","16"
"abefhjdi-1","16"
"abefhklo-1","6"
"abefkhpe-1","1"
"abefplkj-1","1"
"abegjhdc-1","5"
"abehcpgh-1","6"
"abeidkia-1","6"
"abeikoja-1","6"
"abeipifa-1","5"
"abejhlbn-1","3"
"abekkgij-1","7"
"abekpfio-1","7"
"abelmdie-1","6"
"abemfobc-1","6"
"abenggbd-1","1"
"abepenlk-1","7"
"abepkioa-1","1"
"abepnnji-1","6"
"abfackjb-1","7"
"abfbbfmp-1","7"
"abfbebgg-1","5"
"abfbgekk-1","5"
"abfbndog-1","1"
"abfboljd-1","1"
"abfcaipb-1","7"
"abfcfncc-1","29"
"abfcgfni-1","1"
"abfckejk-1","7"
"abfdfjig-1","5"
"abfdmjib-1","1"
"abfeabnp-1","8"
"abfeddei-1","7"
"abfefigb-1","5"
"abffbgjf-1","1"
"abffegge-1","10"
"abffmnjf-1","1"
"abfggenf-1","16"
"abfgkcba-1","16"
"abfgkcjg-1","6"
"abfgmnoi-1","1"
"abfhcndm-1","6"
"abfhfocl-1","6"
"abfhgocf-1","6"
"abfiannk-1","6"
"abfimenl-1","6"
"abfiocbc-1","6"
"abfjbbdf-1","6"
"abfkdjkp-1","1"
"abflafgf-1","6"
"abflbijl-1","1"
"abflcpki-1","1"
"abfldoph-1","6"
"abflobpk-1","6"
"abfmcafn-1","1"
"abfmeenl-1","5"
"abfmjcdk-1","5"
"abfnimll-1","1"
"abfnmmmd-1","1"
"abfnpple-1","1"
"abfoacka-1","1"
"abfoadok-1","1"
"abfochap-1","6"
"abfogamp-1","5"
"abfojpie-1","1"
"abfoooog-1","6"
"abfopbde-1","6"
"abfpbkpj-1","1"
"abgadoda-1","1"
"abgagijd-1","6"
"abgamfki-1","1"
"abgancaf-1","1"
"abgbeija-1","5"
"abgbkcno-1","1"
"abgbkdge-1","6"
"abgbllpk-1","6"
"abgbmemd-1","6"
"abgcckkl-1","6"
"abgcogae-1","1"
"abgdbiac-1","6"
"abgdddda-1","1"
"abgdlhkp-1","1"
"abgdmchh-1","5"
"abgdphnh-1","5"
"abgecfcn-1","1"
"abgejbof-1","1"
"abgeohhk-1","16"
"abgfflom-1","16"
"abgfgmak-1","16"
"abgfijco-1","6"
"abgfkpik-1","1"
"abgfpngo-1","6"
"abgglbih-1","7"
"abggojok-1","5"
"abghihni-1","29"
"abghjkgn-1","7"
"abghlfki-1","1"
"abghondc-1","7"
"abgiajmp-1","7"
"abgiclmi-1","1"
"abgiibbi-1","1"
"abgijffn-1","1"
"abgjemel-1","1"
"abgkdjkn-1","1"
"abgkhfkb-1","7"
"abgkicfd-1","6"
"abgkjnfm-1","6"
"abgleilc-1","1"
"abglidgk-1","6"
"abglopkm-1","0"
"abglplbd-1","7"
"abgmafgl-1","6"
"abgmmdpa-1","16"
"abgnackh-1","16"
"abgnkahi-1","16"
"abgnnmoa-1","16"
"abgnoeki-1","1"
"abgoabnf-1","16"
"abgocbha-1","6"
"abgokaed-1","1"
"abgolnmp-1","6"
"abgonkcb-1","6"
