#Selection name: Selection 1
#Area (µm^2): 30942047.62
Cell ID,Cluster,Transcripts,Area (µm^2)
fndbgonb-1,Cluster 15,0,238.02
fmobgpoj-1,Cluster 5,0,77.98
mmfleaik-1,Cluster 7,0,71.44
fmobokno-1,Cluster 7,0,45.83
mmflfhhl-1,Cluster 13,0,38.25
fmobnich-1,Cluster 15,0,179.68
fmobpiml-1,Cluster 6,0,78.62
fmocgaja-1,Cluster 6,0,87.33
fndceafi-1,Cluster 22,0,38.34
fmpaklkd-1,Cluster 4,0,47.96
fndbfbhd-1,Cluster 18,0,40.23
fmpbchgn-1,Cluster 6,0,78.53
fndfmdmc-1,Cluster 25,0,15.58
fndffceh-1,Cluster 5,0,91.71
fndfpeff-1,Cluster 22,0,54.32
fndgabde-1,Cluster 4,0,40.32
fmpcgpdk-1,Cluster 8,0,81.37
fmpbhfhd-1,Cluster 6,0,50.94
aloonpgp-1,Cluster 7,0,190.56
fncpingd-1,Cluster 4,0,61.01
fmocmhng-1,Cluster 7,0,179.04
fmndnadb-1,Cluster 4,0,45.02
fmodopga-1,Cluster 18,0,75.68
fmndbdcc-1,Cluster 6,0,89.77
fmnbkoel-1,Cluster 5,0,28.31
fmogainl-1,Cluster 4,0,76.13
fmnbenkp-1,Cluster 6,0,75.55
fmnhgecm-1,Cluster 18,0,53.96
fmndcbfd-1,Cluster 5,0,25.38
fmocodpi-1,Cluster 10,0,19.46
fmodkopk-1,Cluster 18,0,91.49
fmlpecfc-1,Cluster 5,0,75.64
fmoimcek-1,Cluster 8,0,61.73
fmoekkhi-1,Cluster 8,0,111.49
fmoeiinp-1,Cluster 18,0,61.59
mmbabdga-1,Cluster 4,0,53.28
fmniiemc-1,Cluster 10,0,58.66
fmnadipe-1,Cluster 6,0,95.23
mmapmlff-1,Cluster 18,0,77.35
fmocooke-1,Cluster 18,0,72.88
mmapljjl-1,Cluster 18,0,90.94
fmnfebnd-1,Cluster 5,0,72.16
fmnienmh-1,Cluster 6,0,103.32
fmodppnj-1,Cluster 6,0,85.03
fmodnema-1,Cluster 4,0,48.50
fmneacjd-1,Cluster 8,0,24.75
fmndbakg-1,Cluster 18,0,65.93
aloonlao-1,Cluster 18,0,60.92
alopgobp-1,Cluster 18,0,76.68
fmogcebc-1,Cluster 5,0,43.35
mmaojecb-1,Cluster 18,0,65.16
fmngglem-1,Cluster 6,0,76.31
fmogagbk-1,Cluster 10,0,22.80
fmogcblb-1,Cluster 8,0,57.21
fmohppol-1,Cluster 10,0,24.38
fmoelpjm-1,Cluster 18,0,52.20
fmofljlk-1,Cluster 6,0,125.72
fmoaflga-1,Cluster 6,0,76.54
fmpmfgoj-1,Cluster 14,0,47.69
fmjealic-1,Cluster 8,0,71.17
fmjmcjnn-1,Cluster 14,0,27.32
fmpkmbjm-1,Cluster 18,0,57.57
fmjhnenb-1,Cluster 18,0,46.96
fmjloaep-1,Cluster 6,0,73.70
fmjfpppi-1,Cluster 4,0,66.24
fmjgdapm-1,Cluster 6,0,72.70
fmjhmenn-1,Cluster 8,0,40.69
fmjfhnch-1,Cluster 14,0,15.90
fmjfdpbo-1,Cluster 10,0,19.28
fmpkmkdg-1,Cluster 6,0,48.81
fmjhhbgk-1,Cluster 8,0,15.76
fmpllhae-1,Cluster 6,0,96.95
fmjeiddf-1,Cluster 5,0,53.15
fmjememn-1,Cluster 13,0,41.41
fmjhnlfd-1,Cluster 4,0,69.31
fmplgchf-1,Cluster 6,0,64.62
fmoiocod-1,Cluster 8,0,44.03
fmpkbabm-1,Cluster 6,0,56.08
fmpcinng-1,Cluster 8,0,68.77
fmombmgo-1,Cluster 8,0,66.06
fmolpnpp-1,Cluster 8,0,45.16
ohbcioji-1,Cluster 25,0,11.56
fmpjaajb-1,Cluster 18,0,109.37
fmpjkjnn-1,Cluster 10,0,42.36
fmpgldbi-1,Cluster 18,0,183.52
fmoonomh-1,Cluster 30,0,135.83
fmojhied-1,Cluster 6,0,55.90
fmpinclp-1,Cluster 18,0,83.45
fmopfjkd-1,Cluster 8,0,79.61
fmpjgiom-1,Cluster 18,0,92.84
fmojgini-1,Cluster 8,0,46.51
fmphoflh-1,Cluster 18,0,49.36
fmomgocc-1,Cluster 6,0,105.26
fmojfkde-1,Cluster 4,0,81.51
fmojdjkj-1,Cluster 6,0,92.07
fnehadab-1,Cluster 14,0,65.57
fmjobehc-1,Cluster 8,0,55.45
fmmglcig-1,Cluster 5,0,53.60
fmmmghmd-1,Cluster 30,0,121.02
fmjmmfcl-1,Cluster 8,0,51.16
fmkbccjk-1,Cluster 23,0,106.66
fmjmkbaf-1,Cluster 36,0,68.95
fmminghl-1,Cluster 6,0,74.15
fmmfngjj-1,Cluster 8,0,114.29
fmjpadha-1,Cluster 30,0,116.37
fmjpahic-1,Cluster 6,0,54.28
fmkfjkmi-1,Cluster 10,0,31.88
fmmhonlp-1,Cluster 8,0,72.84
fmjncncf-1,Cluster 8,0,46.65
fmmihfad-1,Cluster 5,0,66.42
fmmmkhpd-1,Cluster 6,0,131.86
fmmhchgj-1,Cluster 10,0,48.86
fmjodfbg-1,Cluster 36,0,72.79
fmkffeah-1,Cluster 4,0,82.68
fmjnnohm-1,Cluster 25,0,46.15
fmmlmpeo-1,Cluster 23,0,80.20
fmkdmhic-1,Cluster 8,0,93.02
fmjljece-1,Cluster 6,0,125.85
fmjpchda-1,Cluster 6,0,81.60
fmjlcolj-1,Cluster 5,0,41.91
fmpgaadb-1,Cluster 6,0,96.27
fmpfilej-1,Cluster 8,0,30.84
fmpfbidc-1,Cluster 14,0,41.05
fmjlkakh-1,Cluster 8,0,45.88
fmkfehcf-1,Cluster 13,0,96.82
fmkejagp-1,Cluster 10,0,45.56
fmjhpkfm-1,Cluster 6,0,87.15
fmjlcido-1,Cluster 6,0,77.49
fmjlihmd-1,Cluster 6,0,70.53
fmkinlif-1,Cluster 8,0,72.57
fmpoackc-1,Cluster 6,0,141.02
fmpfcnfh-1,Cluster 6,0,55.72
fmjlknmd-1,Cluster 6,0,71.12
fmlmmhkf-1,Cluster 8,0,65.52
fmmchfme-1,Cluster 13,0,58.34
fmmanjhn-1,Cluster 5,0,35.13
mlimkigf-1,Cluster 23,0,85.30
fmnkblof-1,Cluster 13,0,31.65
fmlnplhe-1,Cluster 13,0,37.43
fmnkddie-1,Cluster 5,0,90.54
fmlohjbo-1,Cluster 5,0,32.69
fmlnofkk-1,Cluster 8,0,57.94
fmnjebmg-1,Cluster 30,0,113.34
fmnmnaib-1,Cluster 23,0,86.07
fmmbbkih-1,Cluster 6,0,232.78
fmnmalgc-1,Cluster 6,0,41.27
fmloooma-1,Cluster 6,0,93.11
fmmapeif-1,Cluster 5,0,46.78
fmmbbipn-1,Cluster 4,0,62.99
fmmaiipc-1,Cluster 6,0,96.95
fmlpcmog-1,Cluster 6,0,107.34
mmajnljn-1,Cluster 4,0,36.17
fmnpjokj-1,Cluster 6,0,80.47
fmnkpcno-1,Cluster 5,0,59.02
mmaldedg-1,Cluster 30,0,105.21
mmakfain-1,Cluster 5,0,41.18
fmnmijld-1,Cluster 6,0,93.25
fmmccmeh-1,Cluster 18,0,70.04
fmnmpnda-1,Cluster 23,0,50.89
fmmaincg-1,Cluster 6,0,98.62
fmnjgfne-1,Cluster 6,0,52.43
fmnjiebc-1,Cluster 8,0,63.90
fmlnkedl-1,Cluster 4,0,84.62
fmnjlaon-1,Cluster 6,0,136.91
fmlninog-1,Cluster 6,0,125.08
fmlpgaml-1,Cluster 4,0,42.18
mmbaakme-1,Cluster 5,0,74.55
fmnacmpg-1,Cluster 6,0,91.26
fmlnfpen-1,Cluster 6,0,85.71
fmnaienl-1,Cluster 6,0,99.12
fmlpogco-1,Cluster 4,0,44.61
mmahpioe-1,Cluster 6,0,69.59
fmhdhnap-1,Cluster 5,0,57.21
fmhibhel-1,Cluster 5,0,45.65
fmhelfbe-1,Cluster 6,0,82.09
fmhhockj-1,Cluster 32,0,84.13
fmnjadlb-1,Cluster 30,0,64.53
fmhecphl-1,Cluster 6,0,102.19
fmhicfhn-1,Cluster 25,0,33.51
fmhhpoom-1,Cluster 4,0,62.54
mligcage-1,Cluster 30,0,159.99
fmhiehcp-1,Cluster 23,0,83.45
fmhjooij-1,Cluster 23,0,68.91
fmhgdmld-1,Cluster 14,0,31.16
fmmdebbg-1,Cluster 6,0,75.23
fmmdnibg-1,Cluster 23,0,88.42
fmhilamj-1,Cluster 13,0,26.15
fmhfmjmg-1,Cluster 30,0,138.00
fmnnhlmb-1,Cluster 5,0,75.00
mliggjmn-1,Cluster 6,0,83.81
fmhibehd-1,Cluster 14,0,24.16
mlifjlao-1,Cluster 6,0,79.38
fmmcjdcb-1,Cluster 30,0,212.19
fmhjiabo-1,Cluster 5,0,58.03
fmnnilli-1,Cluster 18,0,97.36
fmnnmfmc-1,Cluster 30,0,130.10
fmnimnig-1,Cluster 6,0,91.13
fmnoaabm-1,Cluster 18,0,66.20
fmnolbea-1,Cluster 23,0,71.98
fmnjcelf-1,Cluster 30,0,130.19
fmnobfdc-1,Cluster 23,0,98.98
fmmccpfi-1,Cluster 6,0,135.38
fmhekkpf-1,Cluster 6,0,71.71
fmnmojcb-1,Cluster 23,0,111.27
fmnpfple-1,Cluster 13,0,46.10
fmoaelno-1,Cluster 4,0,29.53
fmmciden-1,Cluster 6,0,46.69
fmnnagoj-1,Cluster 23,0,84.76
fmoaamkg-1,Cluster 8,0,32.60
fmlhbcbi-1,Cluster 10,0,22.49
fmmopjmb-1,Cluster 14,0,15.26
fmjbdppn-1,Cluster 6,0,94.83
fmmeegga-1,Cluster 5,0,62.86
fmjbmlkd-1,Cluster 6,0,79.66
fminnonp-1,Cluster 18,0,70.58
fminogkn-1,Cluster 14,0,35.67
fmimnjkd-1,Cluster 4,0,49.49
fmjbchcb-1,Cluster 5,0,44.57
fmjdkhpa-1,Cluster 5,0,43.21
fmjdoopf-1,Cluster 13,0,60.06
fmmoceca-1,Cluster 6,0,83.99
fmmegljn-1,Cluster 6,0,113.03
fmjapjpi-1,Cluster 10,0,21.00
fminimjm-1,Cluster 18,0,41.50
fminbloo-1,Cluster 6,0,99.71
fmmlimei-1,Cluster 6,0,45.97
fmmjccbh-1,Cluster 10,0,69.31
fmmkbghb-1,Cluster 6,0,82.41
fmkbnnab-1,Cluster 10,0,52.74
fmingpgg-1,Cluster 18,0,55.05
fmimbiij-1,Cluster 6,0,85.12
fmkangbd-1,Cluster 36,0,67.55
fmlnflhj-1,Cluster 8,0,88.60
fmmhhimb-1,Cluster 13,0,34.18
fmiocpid-1,Cluster 8,0,78.71
fmiollgn-1,Cluster 13,0,43.12
fmkgbhij-1,Cluster 23,0,92.57
fmioipfo-1,Cluster 8,0,40.01
fmmpgcgp-1,Cluster 6,0,73.29
fmiomnam-1,Cluster 4,0,37.12
fmmjbobk-1,Cluster 6,0,100.29
fmmmmbbh-1,Cluster 13,0,37.62
fmkcfbed-1,Cluster 6,0,61.73
fmkbfjdd-1,Cluster 36,0,55.81
fmkfonjb-1,Cluster 8,0,93.25
fmlmmkje-1,Cluster 8,0,119.66
fmmpldpl-1,Cluster 6,0,87.65
fmhonkpk-1,Cluster 8,0,49.31
fmmdddnj-1,Cluster 6,0,116.50
fmldmpig-1,Cluster 30,0,154.21
fmiakfcn-1,Cluster 8,0,46.01
fmigfkid-1,Cluster 6,0,105.71
fmiaeooa-1,Cluster 6,0,77.85
fmlffhca-1,Cluster 14,0,51.43
fmibgiik-1,Cluster 18,0,90.18
fmlgghne-1,Cluster 4,0,66.65
fmhoodad-1,Cluster 18,0,124.22
fmmebnmm-1,Cluster 23,0,82.86
fmihpbmc-1,Cluster 8,0,84.71
fmicmllk-1,Cluster 5,0,69.41
fmhpljop-1,Cluster 6,0,111.08
fmhpkabh-1,Cluster 18,0,84.04
fmldehcm-1,Cluster 14,0,43.67
fmllkcbg-1,Cluster 30,0,61.19
fmmfnbmi-1,Cluster 13,0,19.91
fmljhllh-1,Cluster 10,0,20.82
fmifflbp-1,Cluster 6,0,52.79
ohbcgpcf-1,Cluster 10,0,16.08
fmlkmefo-1,Cluster 30,0,108.56
fmihjdie-1,Cluster 5,0,64.66
fmljfaih-1,Cluster 6,0,55.95
fmlifdfl-1,Cluster 6,0,116.41
fmlkcmnd-1,Cluster 5,0,34.91
fmllcjah-1,Cluster 25,0,19.37
fmifehnj-1,Cluster 6,0,123.50
fmlklhhj-1,Cluster 4,0,45.70
fmljabih-1,Cluster 6,0,101.92
fmmfagpn-1,Cluster 18,0,71.57
fmlihhin-1,Cluster 6,0,90.99
fmmaocda-1,Cluster 6,0,116.28
fmliifgc-1,Cluster 18,0,50.76
fmmandce-1,Cluster 4,0,41.72
fmmdpjhj-1,Cluster 6,0,86.52
foehbhda-1,Cluster 18,0,87.56
foaeopob-1,Cluster 8,0,61.68
fmkmgndi-1,Cluster 36,0,43.94
foaiheid-1,Cluster 8,0,50.44
fmkmbclf-1,Cluster 5,0,49.40
fmkgjnhf-1,Cluster 6,0,111.54
fnpjglhm-1,Cluster 5,0,43.80
fmkmgaka-1,Cluster 36,0,59.70
fmkkolnj-1,Cluster 38,0,136.15
fmkjpcdg-1,Cluster 10,0,30.57
fnpjghmi-1,Cluster 6,0,66.42
foaokakc-1,Cluster 14,0,33.42
fmkkdeno-1,Cluster 25,0,15.90
foanpnip-1,Cluster 6,0,83.54
fmkgfgon-1,Cluster 6,0,95.91
foanhmgf-1,Cluster 4,0,67.69
foaoioin-1,Cluster 5,0,76.09
fmkjadfj-1,Cluster 8,0,60.51
foaojfjd-1,Cluster 6,0,113.12
foalkloj-1,Cluster 18,0,87.24
foakapel-1,Cluster 6,0,62.77
foaoemlm-1,Cluster 4,0,49.22
fmoohccf-1,Cluster 23,0,114.20
foajnipp-1,Cluster 4,0,51.84
foajjacc-1,Cluster 6,0,196.79
foagmdlh-1,Cluster 6,0,63.08
foahpkco-1,Cluster 6,0,83.67
foakeinh-1,Cluster 8,0,77.94
fnpnjlci-1,Cluster 10,0,28.72
fnpkoenf-1,Cluster 8,0,164.01
foakmjgk-1,Cluster 10,0,42.00
fmkjjogb-1,Cluster 10,0,57.08
fmkklplb-1,Cluster 8,0,94.15
foajklnh-1,Cluster 5,0,33.69
foafghfp-1,Cluster 18,0,92.53
foamonmi-1,Cluster 6,0,86.93
fmompaaa-1,Cluster 23,0,66.33
foanodci-1,Cluster 10,0,36.26
fnfaipca-1,Cluster 6,0,83.72
fmomkkga-1,Cluster 36,0,25.83
fogaodlh-1,Cluster 6,0,104.58
fmkopbhh-1,Cluster 5,0,60.55
fofohdcm-1,Cluster 6,0,129.28
fmkobjem-1,Cluster 36,0,84.13
fogagnhp-1,Cluster 6,0,57.26
fmkphonj-1,Cluster 10,0,22.98
fogdnobd-1,Cluster 5,0,53.47
fmknldah-1,Cluster 23,0,88.87
fmkobofa-1,Cluster 30,0,65.12
fmkpkmlc-1,Cluster 4,0,37.98
fmlbmdjj-1,Cluster 27,0,71.39
fmlbhbfp-1,Cluster 9,0,27.68
fmlcfaog-1,Cluster 14,0,31.79
fofpiken-1,Cluster 6,0,101.20
fogakmbn-1,Cluster 6,0,66.56
foaiflec-1,Cluster 6,0,73.65
fmkomlcg-1,Cluster 5,0,93.93
fmlalkja-1,Cluster 30,0,161.70
foffikne-1,Cluster 6,0,82.00
fofpigjb-1,Cluster 5,0,48.90
fmladied-1,Cluster 5,0,28.99
fmkioabc-1,Cluster 8,0,84.35
fmlbhlcd-1,Cluster 23,0,75.28
fmkmndak-1,Cluster 30,0,121.43
fmkghedh-1,Cluster 30,0,69.13
fmlbknld-1,Cluster 30,0,80.47
foajfnhg-1,Cluster 5,0,27.95
fnpjoelm-1,Cluster 6,0,59.70
foainahi-1,Cluster 6,0,103.54
fmkeikam-1,Cluster 8,0,69.04
foaidkgc-1,Cluster 13,0,35.99
fnpjphjf-1,Cluster 4,0,32.20
fmkicljn-1,Cluster 8,0,40.23
foaiokaj-1,Cluster 30,0,80.11
fnpjocdd-1,Cluster 6,0,55.63
fnpjaokg-1,Cluster 8,0,58.34
fmklblkp-1,Cluster 5,0,44.57
fnpimmmb-1,Cluster 6,0,77.31
fafohhja-1,Cluster 6,0,58.61
fnpholhf-1,Cluster 6,0,93.25
foeodpah-1,Cluster 8,0,55.05
fafooglc-1,Cluster 6,0,74.69
fafoiejl-1,Cluster 14,0,58.84
foepempb-1,Cluster 14,0,89.14
fnpphakc-1,Cluster 8,0,101.01
foeldlag-1,Cluster 14,0,66.20
foaajgkh-1,Cluster 5,0,28.99
foiokepn-1,Cluster 6,0,81.87
foahhmlm-1,Cluster 6,0,78.57
foabnpng-1,Cluster 8,0,50.67
foablhdi-1,Cluster 14,0,50.80
fafoiaml-1,Cluster 18,0,110.09
foaicnch-1,Cluster 8,0,79.34
foaaejjl-1,Cluster 13,0,61.91
fadobkba-1,Cluster 8,0,97.90
faeefhcb-1,Cluster 18,0,43.03
fadpmdla-1,Cluster 14,0,19.73
fojkpepg-1,Cluster 14,0,49.72
amejeefg-1,Cluster 15,0,168.75
foacgknj-1,Cluster 6,0,78.12
fadpmmbg-1,Cluster 8,0,62.72
faedjmfk-1,Cluster 8,0,75.64
fadohdko-1,Cluster 15,0,361.75
foafpphl-1,Cluster 8,0,120.34
foagjgbk-1,Cluster 6,0,80.42
faeegikn-1,Cluster 4,0,51.39
amejpibi-1,Cluster 15,0,90.99
fojbfkfo-1,Cluster 7,0,66.11
foaebhhk-1,Cluster 8,0,60.28
foagklnh-1,Cluster 8,0,113.16
foiplknm-1,Cluster 18,0,35.67
foiohall-1,Cluster 5,0,50.58
amehomnj-1,Cluster 15,0,204.74
fojbkadp-1,Cluster 18,0,53.24
foafonfd-1,Cluster 6,0,104.58
fogachha-1,Cluster 6,0,140.53
fogdcpfj-1,Cluster 18,0,80.06
fofcjchj-1,Cluster 18,0,41.14
fogddhgi-1,Cluster 18,0,48.00
fafmhhkd-1,Cluster 18,0,74.91
foeieabm-1,Cluster 25,0,8.62
fofbnngc-1,Cluster 18,0,87.56
foeeeokh-1,Cluster 18,0,84.13
amejnakn-1,Cluster 18,0,89.18
foeegbcf-1,Cluster 8,0,65.07
foeffbdc-1,Cluster 5,0,62.41
fogbifab-1,Cluster 4,0,42.81
fofcplhm-1,Cluster 6,0,92.30
foemaole-1,Cluster 8,0,40.51
fagaoiad-1,Cluster 8,0,49.40
fofcdmbf-1,Cluster 6,0,74.96
fnpejife-1,Cluster 6,0,89.59
fafpejci-1,Cluster 6,0,83.04
foekabeb-1,Cluster 6,0,112.48
faflpiin-1,Cluster 5,0,28.36
fofdbhoj-1,Cluster 5,0,97.31
fnpfegfc-1,Cluster 6,0,71.12
fagbcllm-1,Cluster 5,0,42.99
fnpehpho-1,Cluster 6,0,65.61
faflgdoa-1,Cluster 4,0,60.78
fnpelalk-1,Cluster 6,0,98.98
fnpfjlgh-1,Cluster 10,0,23.89
foelhkdl-1,Cluster 5,0,35.40
fafkaalh-1,Cluster 6,0,68.23
ogpcocmd-1,Cluster 25,0,19.10
fagbfigj-1,Cluster 5,0,42.94
fnpenoco-1,Cluster 5,0,44.75
foenicnd-1,Cluster 6,0,67.87
fagalami-1,Cluster 6,0,61.10
fagaddeb-1,Cluster 6,0,50.53
fnphikij-1,Cluster 6,0,35.40
foelckeg-1,Cluster 5,0,46.69
fodmamjp-1,Cluster 36,0,22.35
fofniopl-1,Cluster 10,0,22.22
fofnkddm-1,Cluster 4,0,65.70
fohjlpcc-1,Cluster 8,0,61.05
foflhnhf-1,Cluster 5,0,62.77
fogdpngi-1,Cluster 26,0,67.60
fogdoddo-1,Cluster 30,0,104.76
fogdemdp-1,Cluster 8,0,77.98
fofimmff-1,Cluster 4,0,46.60
fogfkebh-1,Cluster 6,0,80.87
fofmfbci-1,Cluster 8,0,24.52
foggbaib-1,Cluster 6,0,63.22
foghokca-1,Cluster 6,0,90.63
foghecem-1,Cluster 6,0,39.65
fofffhle-1,Cluster 30,0,160.98
foflpape-1,Cluster 8,0,11.51
fogfjeej-1,Cluster 10,0,24.84
foghgpad-1,Cluster 14,0,26.01
fofineoj-1,Cluster 18,0,62.81
fofogcbd-1,Cluster 5,0,36.26
fofioijc-1,Cluster 4,0,49.72
fofklcbn-1,Cluster 36,0,29.08
fofooegp-1,Cluster 6,0,69.54
fogieedj-1,Cluster 14,0,45.38
fogjapck-1,Cluster 13,0,48.86
fmiplhkj-1,Cluster 18,0,63.53
fmjadmbe-1,Cluster 23,0,79.07
fofikkcc-1,Cluster 23,0,60.69
foffjgnp-1,Cluster 23,0,83.18
fmipmpfo-1,Cluster 25,0,32.92
fmipaafl-1,Cluster 23,0,57.80
fmimdmgm-1,Cluster 30,0,90.54
fogilded-1,Cluster 6,0,82.64
foffjlnm-1,Cluster 8,0,94.56
fofhdpgh-1,Cluster 23,0,145.36
foggfehj-1,Cluster 8,0,60.46
fofooopn-1,Cluster 6,0,106.03
foghhccd-1,Cluster 13,0,54.82
fmkfjlai-1,Cluster 8,0,40.23
foeclpbc-1,Cluster 18,0,52.29
fohkohjg-1,Cluster 23,0,97.45
fmljnejl-1,Cluster 23,0,77.35
fmlgojca-1,Cluster 18,0,86.56
fohkebde-1,Cluster 5,0,61.77
fogmbmpi-1,Cluster 30,0,150.91
fmidibba-1,Cluster 30,0,95.51
fmlkfnag-1,Cluster 6,0,102.50
fmienndb-1,Cluster 4,0,30.21
fmiekkpb-1,Cluster 36,0,26.64
fmlhkhmf-1,Cluster 18,0,57.66
fodjpidm-1,Cluster 6,0,102.10
foffbgoj-1,Cluster 6,0,96.82
fogkblde-1,Cluster 23,0,71.89
fodlmfmk-1,Cluster 6,0,73.56
foedimcf-1,Cluster 8,0,31.07
fogljjcc-1,Cluster 10,0,39.56
foecgdje-1,Cluster 6,0,64.98
fodjjceb-1,Cluster 10,0,16.12
fodliiil-1,Cluster 30,0,132.49
fodmabfd-1,Cluster 6,0,106.39
fofenifj-1,Cluster 14,0,37.66
fmiekeep-1,Cluster 6,0,95.51
fogehfoi-1,Cluster 4,0,38.79
fofepcip-1,Cluster 5,0,37.93
fogelbln-1,Cluster 6,0,91.08
fofljiad-1,Cluster 6,0,90.54
fodljmml-1,Cluster 18,0,57.21
foecbaid-1,Cluster 6,0,83.09
foecmdab-1,Cluster 6,0,93.43
foffangg-1,Cluster 14,0,16.48
fogemecb-1,Cluster 6,0,85.30
fmifbfmp-1,Cluster 6,0,77.49
fofnlkib-1,Cluster 5,0,46.15
ohbhgpbc-1,Cluster 8,0,15.04
fmlhgnkj-1,Cluster 18,0,75.95
fogfcnop-1,Cluster 6,0,74.19
fogonele-1,Cluster 6,0,109.50
faihdnod-1,Cluster 5,0,45.20
fafblclc-1,Cluster 14,0,52.43
fafdbdni-1,Cluster 14,0,31.65
fafcjmag-1,Cluster 18,0,72.97
fohocapl-1,Cluster 13,0,44.61
ogpbnoeb-1,Cluster 6,0,69.54
fohnjfci-1,Cluster 6,0,57.71
fohplhfl-1,Cluster 6,0,110.41
fafdiepa-1,Cluster 6,0,72.52
fafdjaod-1,Cluster 6,0,39.33
fafdffil-1,Cluster 13,0,74.87
faihadph-1,Cluster 13,0,39.96
fognjjic-1,Cluster 4,0,62.95
fafchond-1,Cluster 14,0,89.23
fodpckka-1,Cluster 6,0,71.75
faifpihn-1,Cluster 18,0,64.08
fafcmaee-1,Cluster 4,0,82.23
fohneaom-1,Cluster 13,0,28.18
faifiadg-1,Cluster 18,0,28.45
fohoedcp-1,Cluster 8,0,95.60
fohmeifc-1,Cluster 18,0,69.00
fohkbkki-1,Cluster 6,0,105.53
faiffdfp-1,Cluster 14,0,46.19
fohogplh-1,Cluster 8,0,65.12
fohogcpe-1,Cluster 6,0,78.21
fohojaon-1,Cluster 8,0,46.69
fafccjhn-1,Cluster 5,0,48.05
faifjbld-1,Cluster 8,0,46.19
foeggbcp-1,Cluster 8,0,36.67
fogdecbl-1,Cluster 14,0,56.94
fogbhinm-1,Cluster 5,0,44.16
foeedhcb-1,Cluster 6,0,84.67
fafbokgi-1,Cluster 6,0,119.26
fogcgpmo-1,Cluster 6,0,68.10
fohmpgmj-1,Cluster 6,0,76.18
fogbngbi-1,Cluster 8,0,71.44
fogcnojl-1,Cluster 18,0,74.33
fafhbphh-1,Cluster 23,0,88.24
fohcbkcm-1,Cluster 4,0,66.52
fodmgicg-1,Cluster 30,0,127.93
fafekbil-1,Cluster 4,0,37.84
fafamnfi-1,Cluster 10,0,65.52
fafgmdng-1,Cluster 10,0,14.63
fohiafac-1,Cluster 23,0,80.38
faeojmmj-1,Cluster 8,0,32.92
foebaape-1,Cluster 8,0,51.21
ohbhhkai-1,Cluster 8,0,24.07
faepofpl-1,Cluster 5,0,43.03
fohimgnb-1,Cluster 6,0,72.61
fodmkimd-1,Cluster 10,0,79.48
foeaoneb-1,Cluster 6,0,76.36
fohibefb-1,Cluster 6,0,89.68
fafghdph-1,Cluster 8,0,70.22
fafglpkh-1,Cluster 5,0,30.57
fohlkcio-1,Cluster 5,0,58.88
fodokhlm-1,Cluster 8,0,40.28
foebfjkd-1,Cluster 6,0,108.38
faigiloc-1,Cluster 14,0,61.59
faepkemg-1,Cluster 4,0,52.61
fafghmjh-1,Cluster 30,0,86.47
fodoknmc-1,Cluster 6,0,81.37
fafelbke-1,Cluster 14,0,49.58
faiefaln-1,Cluster 6,0,90.63
fafecjac-1,Cluster 5,0,73.60
fafeojkl-1,Cluster 14,0,41.72
fodojofa-1,Cluster 4,0,28.99
faepcgim-1,Cluster 6,0,44.84
fodocpjm-1,Cluster 30,0,134.16
faepdmeg-1,Cluster 8,0,36.31
fohjjcgp-1,Cluster 6,0,93.25
foeaboii-1,Cluster 5,0,46.87
fafdbnmh-1,Cluster 6,0,80.02
fohokoni-1,Cluster 8,0,75.64
faddcind-1,Cluster 6,0,99.52
fahfhpmm-1,Cluster 8,0,50.80
amaoikjk-1,Cluster 15,0,145.81
fahmmlig-1,Cluster 4,0,19.19
amdfkmkn-1,Cluster 15,0,166.04
amalmnhb-1,Cluster 7,0,151.05
epklleck-1,Cluster 22,0,74.78
epmagpni-1,Cluster 15,0,250.71
amalhoan-1,Cluster 7,0,118.81
eplhfinc-1,Cluster 34,0,25.47
aodkkbhl-1,Cluster 7,0,91.85
aodkkfne-1,Cluster 7,0,80.33
epkolanl-1,Cluster 7,0,40.78
aodmaemm-1,Cluster 15,0,138.58
epliolfn-1,Cluster 15,0,194.13
amdfjpil-1,Cluster 7,0,167.17
aodjjhda-1,Cluster 15,0,111.67
amdhodmo-1,Cluster 15,0,217.83
epklofol-1,Cluster 10,0,8.81
aodndofi-1,Cluster 7,0,153.44
ogpabdmc-1,Unassigned,0,10.70
eplofcgc-1,Cluster 7,0,255.99
epmaeflm-1,Cluster 13,0,57.03
aodmjkfb-1,Cluster 15,0,190.20
amdgmmfe-1,Cluster 7,0,66.33
eplbagfp-1,Cluster 8,0,45.07
eplaheae-1,Cluster 8,0,55.32
eplmpnal-1,Cluster 15,0,157.37
eplbijbl-1,Cluster 6,0,83.67
eplmbkjl-1,Cluster 5,0,31.61
aodknhbg-1,Cluster 7,0,168.93
eplbdmln-1,Cluster 8,0,86.16
eplgaijk-1,Cluster 34,0,49.45
epmadkca-1,Cluster 33,0,19.42
eplgdjpp-1,Cluster 10,0,22.08
eplncbgi-1,Cluster 4,0,55.36
aocaepcc-1,Cluster 7,0,104.40
epmabnjb-1,Cluster 6,0,74.96
anpaoomn-1,Cluster 7,0,145.04
aodmjdek-1,Cluster 15,0,157.69
anpapjok-1,Cluster 7,0,150.55
aodlpdlo-1,Cluster 15,0,170.74
fojcnjon-1,Cluster 8,0,80.42
amdgfgge-1,Cluster 15,0,223.16
fahmmjpm-1,Cluster 31,0,75.00
