"cell_id","group"
"aaeobpcd-1","PTS1"
"aaeomkda-1","PTS1"
"aaepckia-1","PTS1"
"aaepljgp-1","PTS1"
"aafaehio-1","CNT"
"aafafmio-1","PTS1"
"aafagkin-1","ICB"
"aafaiedg-1","PTS2"
"aafajeee-1","PTS2"
"aafakddi-1","PTS2"
"aafapepo-1","PTS2"
"aafbfamo-1","PTS2"
"aafbglan-1","PTS3"
"aafcacjp-1","PTS3"
"aafccghh-1","PTS2"
"aafceljd-1","PTS2"
"aafckdff-1","PTS2"
"aafdadpf-1","PTS2"
"aafdenpf-1","PTS1"
"aafefodh-1","PTS2"
"aafekmch-1","PTS1"
"aaffafnh-1","PTS2"
"aaffiakh-1","PTS2"
"aafgblba-1","PTS2"
"aafgcilc-1","PTS2"
"aafgdeam-1","PTS2"
"aafgflbf-1","PTS2"
"aafhamhl-1","CNT"
"aafhfppg-1","DCT2"
"aafhgffn-1","PTS2"
"aafhiabn-1","PTS2"
"aafhndno-1","PTS2"
"aafieedb-1","PTS2"
"aafihiae-1","PTS2"
"aafilajp-1","PTS2"
"aafinelk-1","PTS2"
"aafjclhe-1","PTS1"
"aafjjapn-1","PTS2"
"aafjpnip-1","PTS2"
"aafkbbkd-1","PTS2"
"aafkpklg-1","PTS2"
"aafldjnp-1","PTS2"
"aaflegng-1","PTS2"
"aaflibdf-1","PTS2"
"aafljlac-1","PTS1"
"aafmhkkg-1","PTS1"
"aafmmaao-1","PTS1"
"aafmoadi-1","PTS2"
"aafnckik-1","PTS1"
"aafnjihn-1","PTS2"
"aafnmcbm-1","PTS2"
"aafnnpof-1","PTS1"
"aafocbak-1","PTS2"
"aafoddjo-1","PTS2"
"aafohacc-1","PTS2"
"aafojfom-1","PTS2"
"aafpnnkn-1","PTS1"
"aagaecce-1","PTS2"
"aagakpea-1","PTS1"
"aagbammc-1","EC"
"aagbclpm-1","EC"
"aagbehkp-1","PTS1"
"aagbfejf-1","PTS2"
"aagbpjof-1","PTS2"
"aagcbdje-1","PTS1"
"aagciabl-1","PTS2"
"aagcmdng-1","PTS2"
"aagcppbl-1","PTS2"
"aagdjhao-1","PTS2"
"aagdjnfb-1","PTS2"
"aagdnlgi-1","PTS2"
"aagejcff-1","PTS2"
"aagejoah-1","PTS2"
"aagennml-1","PTS1"
"aagfhljd-1","PTS2"
"aagfjgip-1","PTS2"
"aagfpijb-1","PTS2"
"aaghbefa-1","PTS1"
"aaghbgef-1","PTS2"
"aaghdhao-1","PTS2"
"aagijigg-1","PTS2"
"aagilndk-1","PTS2"
"aagjglll-1","TALA"
"aagkflbf-1","TALA"
"aagkgkmg-1","TALA"
"aagkngmk-1","PC"
"aaglaegl-1","PTS2"
"aaglbgpc-1","PTS2"
"aaglgafo-1","PTS1"
"aaglgdld-1","ICA"
"aaglgjbd-1","PC"
"aagliccj-1","PTS1"
"aagmaljk-1","PTS2"
"aagmochh-1","PTS1"
"aagnigij-1","PTS2"
"aagnpjmi-1","PTS1"
"aagoamhi-1","PTS2"
"aagocidi-1","PTS2"
"aagodhkm-1","PTS2"
"aagoefed-1","PTS2"
"aagogkkj-1","PTS2"
"aagokomp-1","PTS2"
"aagoldad-1","PTS2"
"aagookfo-1","PTS2"
"aagppegn-1","PTS2"
"aahafmng-1","PTS2"
"aahcbpmd-1","PTS2"
"aahcojfh-1","PTS2"
"aahdbohn-1","PTS2"
"aahdppnh-1","PTS2"
"aahegldi-1","PTS2"
"aahekgle-1","PTS2"
"aahelccg-1","PTS2"
"aahemdej-1","PTS2"
"aaheomfl-1","PTS2"
"aahfbnoo-1","ICA"
"aahfdpbg-1","ICB"
"aahffacg-1","PTS1"
"aahfnbhg-1","CNT"
"aahggccn-1","CNT"
"aahhhnoe-1","ICA"
"aahhlaaa-1","PTS2"
"aahijogd-1","PTS1"
"aahjkicg-1","PTS2"
"aahkcadc-1","PTS2"
"aahkfffc-1","PTS2"
"aahkfjpm-1","PTS2"
"aahkgdgf-1","PTS1"
"aahkiecp-1","PTS2"
"aahkihgk-1","PTS1"
"aahlcndf-1","PTS1"
"aahmhgfo-1","PTS1"
